id	label	description	synonyms	node_url	is_root	parent_url
FBbt:00110256	ventral acute muscle 2	Second-most dorsal of the ventral acute muscles.	VA2 muscle	http://purl.obolibrary.org/obo/FBbt_00110256	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110256/hierarchicalParents
FBbt:00110257	A1-7 VA2 motor neuron	Motor neuron that innervates the external ventral acute muscle 2 of larval abdominal segments A1 to A7. It exits the ventral nerve cord via the segmental nerve root, fasciculating with the SNc nerve branch.	CoR	http://purl.obolibrary.org/obo/FBbt_00110257	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110257/hierarchicalParents
FBbt:00110214	SN motor neuron of A1-7	Motor neuron that innervates the muscles of larval abdominal segments A1-7 and which fasciculates with the segmental nerve. Its soma is located in the same segment of the muscle it innervates. The dendritic domain of the motor neuron is located posteriorly to the dendritic domain of the motorneurons of ISN motor neurons.		http://purl.obolibrary.org/obo/FBbt_00110214	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110214/hierarchicalParents
FBbt:00110255	VA2 motor neuron	Motor neuron that innervates the external ventral acute muscle 2.	CoR	http://purl.obolibrary.org/obo/FBbt_00110255	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110255/hierarchicalParents
FBbt:00007329	segmental nerve branch SNc of A1-7	Posteriorly directed ventral branch of segmental nerve of larval A1-7 that exits the ventral nerve cord through the segmental nerve root. It innervates the external ventral acute musculature muscles and carries axons of the ventral sensory cluster.	SNc	http://purl.obolibrary.org/obo/FBbt_00007329	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007329/hierarchicalParents
FBbt:00110212	segmental nerve root of A1-7	The continuation of the neurite bundle and associated glia of the segmental nerve, inside the ventral nerve cord.		http://purl.obolibrary.org/obo/FBbt_00110212	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110212/hierarchicalParents
FBbt:00007315	segmental nerve of A1-7	Segmental nerve of segments A1-7. It contains the axons of motor neurons that innervate the same segment in which their soma is located. Proximally it shares a glial sheath with the intersegmental nerve before branching from it at the ventral edge of the ventral oblique muscles, after which this nerve splits again: the thick, posteriorly directed SNc branch leaves the main trunk of the nerve (SNa) and splits into fine branches - 3 carrying axons from the ventral sensory cluster and a 4th carrying efferents to the ventral acute musculature. The SNa continues dorsally and carries efferent axons innervating the external lateral transverse and oblique muscles and the axons of v'es2 and v'ch1.	SN	http://purl.obolibrary.org/obo/FBbt_00007315	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007315/hierarchicalParents
FBbt:00007586	larval abdominal segment A1-7	One of the first seven larval segments (counting from anterior to posterior). Larval segments 1-7 have almost identical musculature, gross tracheal morphology and sensory organ types and distribution.		http://purl.obolibrary.org/obo/FBbt_00007586	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007586/hierarchicalParents
FBbt:00111587	adult abdominal segment 4 anterior compartment	Any adult abdominal segment anterior compartment (FBbt:00111583) that is part of some adult abdominal segment 4 (FBbt:00003028).		http://purl.obolibrary.org/obo/FBbt_00111587	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111587/hierarchicalParents
FBbt:00003028	adult abdominal segment 4	Any abdominal segment 4 (FBbt:00000025) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003028	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003028/hierarchicalParents
FBbt:00111586	adult abdominal segment 3 anterior compartment	Any adult abdominal segment anterior compartment (FBbt:00111583) that is part of some adult abdominal segment 3 (FBbt:00003027).		http://purl.obolibrary.org/obo/FBbt_00111586	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111586/hierarchicalParents
FBbt:00003027	adult abdominal segment 3	Any abdominal segment 3 (FBbt:00000024) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003027	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003027/hierarchicalParents
FBbt:00110254	A1-7 VA1 motor neuron	Motor neuron that innervates the external ventral acute muscle 1 of larval abdominal segments A1 to A7. It exits the ventral nerve cord via the segmental nerve root, fasciculating with the SNc nerve branch.	CoR	http://purl.obolibrary.org/obo/FBbt_00110254	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110254/hierarchicalParents
FBbt:00110252	VA1 motor neuron	Motor neuron that innervates the external ventral acute muscle 1.	CoR	http://purl.obolibrary.org/obo/FBbt_00110252	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110252/hierarchicalParents
FBbt:00007239	adult sensillum	Any sensillum (FBbt:00007152) that is part of some adult (FBbt:00003004).		http://purl.obolibrary.org/obo/FBbt_00007239	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007239/hierarchicalParents
FBbt:00004113	adult sense organ	Any sense organ (FBbt:00005155) that is part of some adult (FBbt:00003004).		http://purl.obolibrary.org/obo/FBbt_00004113	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00004113/hierarchicalParents
FBbt:00007152	sensillum	A sense organ embedded in the integument and consisting of one or a cluster of sensory neurons and associated sensory structures, support cells and glial cells forming a single organized unit with a largely bona fide boundary.		http://purl.obolibrary.org/obo/FBbt_00007152	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007152/hierarchicalParents
FBbt:00003004	adult	.		http://purl.obolibrary.org/obo/FBbt_00003004	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003004/hierarchicalParents
FBbt:00111585	adult abdominal segment 2 anterior compartment	Any adult abdominal segment anterior compartment (FBbt:00111583) that is part of some adult abdominal segment 2 (FBbt:00003026).		http://purl.obolibrary.org/obo/FBbt_00111585	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111585/hierarchicalParents
FBbt:00003026	adult abdominal segment 2	Any abdominal segment 2 (FBbt:00000023) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003026	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003026/hierarchicalParents
FBbt:00111584	adult abdominal segment 1 anterior compartment	Any adult abdominal segment anterior compartment (FBbt:00111583) that is part of some adult abdominal segment 1 (FBbt:00003025).		http://purl.obolibrary.org/obo/FBbt_00111584	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111584/hierarchicalParents
FBbt:00003025	adult abdominal segment 1	Any abdominal segment 1 (FBbt:00000022) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003025	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003025/hierarchicalParents
FBbt:00110253	ventral acute muscle 1	Dorsal-most of the ventral acute muscles.	VA1 muscle	http://purl.obolibrary.org/obo/FBbt_00110253	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110253/hierarchicalParents
FBbt:00007237	pentascolopidial chordotonal organ	A chordotonal organ containing 5 scolopidia.		http://purl.obolibrary.org/obo/FBbt_00007237	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007237/hierarchicalParents
FBbt:00005215	chordotonal organ	Mechanosensory organ, generally attached to the body wall and consisting of one or more scolopidia.	sensilla scolopophora	http://purl.obolibrary.org/obo/FBbt_00005215	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00005215/hierarchicalParents
FBbt:00111573	adult segment anterior compartment			http://purl.obolibrary.org/obo/FBbt_00111573	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111573/hierarchicalParents
FBbt:00003024	adult abdominal segment	Any abdominal segment (FBbt:00000021) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003024	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003024/hierarchicalParents
FBbt:00007238	triscolopidial chordotonal organ	A chordotonal organ consisting of 3 scolopidia.		http://purl.obolibrary.org/obo/FBbt_00007238	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007238/hierarchicalParents
FBbt:00110261	LT1 motor neuron	Motor neuron that innervates the external lateral transverse muscle 1.	MN-LT1	http://purl.obolibrary.org/obo/FBbt_00110261	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110261/hierarchicalParents
FBbt:00110262	lateral transverse muscle 1	Anterior-most of the lateral transverse muscles.	LT1 muscle	http://purl.obolibrary.org/obo/FBbt_00110262	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110262/hierarchicalParents
FBbt:00111593	adult abdominal segment 10 anterior compartment	Any adult abdominal segment anterior compartment (FBbt:00111583) that is part of some adult abdominal segment 10 (FBbt:00003034).		http://purl.obolibrary.org/obo/FBbt_00111593	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111593/hierarchicalParents
FBbt:00003034	adult abdominal segment 10	Any abdominal segment 10 (FBbt:00000031) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003034	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003034/hierarchicalParents
FBbt:00007246	cuticle layer	A layer of the cuticle.		http://purl.obolibrary.org/obo/FBbt_00007246	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007246/hierarchicalParents
FBbt:00007013	acellular anatomical structure			http://purl.obolibrary.org/obo/FBbt_00007013	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007013/hierarchicalParents
FBbt:00004970	cuticle	The outer non-living layer of the integumentary system that is secreted by the underlying epidermis.		http://purl.obolibrary.org/obo/FBbt_00004970	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00004970/hierarchicalParents
FBbt:00111592	adult abdominal segment 9 anterior compartment	Any adult abdominal segment anterior compartment (FBbt:00111583) that is part of some adult abdominal segment 9 (FBbt:00003033).		http://purl.obolibrary.org/obo/FBbt_00111592	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111592/hierarchicalParents
FBbt:00003033	adult abdominal segment 9	Any abdominal segment 9 (FBbt:00000030) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003033	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003033/hierarchicalParents
FBbt:00000472	lateral transverse muscle	A laterally located hypodermal muscle of the embryonic/larval musculature with a transverse orientation.		http://purl.obolibrary.org/obo/FBbt_00000472	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00000472/hierarchicalParents
FBbt:00007247	chorionic layer	Layer of the chorion that forms the eggshell.		http://purl.obolibrary.org/obo/FBbt_00007247	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007247/hierarchicalParents
FBbt:00000038	chorion	A hard shell external to the vitelline membrane of the egg.		http://purl.obolibrary.org/obo/FBbt_00000038	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00000038/hierarchicalParents
FBbt:00111591	adult abdominal segment 8 anterior compartment	Any adult abdominal segment anterior compartment (FBbt:00111583) that is part of some adult abdominal segment 8 (FBbt:00003032).		http://purl.obolibrary.org/obo/FBbt_00111591	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111591/hierarchicalParents
FBbt:00003032	adult abdominal segment 8	Any abdominal segment 8 (FBbt:00000029) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003032	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003032/hierarchicalParents
FBbt:00007244	embryonic/larval thoracic sensillum	Any sensillum (FBbt:00007152) that is part of some larval thorax (FBbt:00001741).		http://purl.obolibrary.org/obo/FBbt_00007244	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007244/hierarchicalParents
FBbt:00007240	embryonic/larval sensillum	Any sensillum (FBbt:00007152) that is part of some larva (FBbt:00001727).	larval sensillum	http://purl.obolibrary.org/obo/FBbt_00007240	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007240/hierarchicalParents
FBbt:00001741	larval thorax	Any thorax (FBbt:00000015) that is part of some larva (FBbt:00001727).		http://purl.obolibrary.org/obo/FBbt_00001741	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00001741/hierarchicalParents
FBbt:00110260	A1-7 VA3 motor neuron	Motor neuron that innervates the external ventral acute muscle 3 of larval abdominal segments A1 to A7. It exits the ventral nerve cord via the segmental nerve root, fasciculating with the SNc nerve branch.	CoR	http://purl.obolibrary.org/obo/FBbt_00110260	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110260/hierarchicalParents
FBbt:00111590	adult abdominal segment 7 anterior compartment	Any adult abdominal segment anterior compartment (FBbt:00111583) that is part of some adult abdominal segment 7 (FBbt:00003031).		http://purl.obolibrary.org/obo/FBbt_00111590	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111590/hierarchicalParents
FBbt:00003031	adult abdominal segment 7	Any abdominal segment 7 (FBbt:00000028) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003031	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003031/hierarchicalParents
FBbt:00007245	cuticular specialization	Specialized structure that is found on the cuticle.		http://purl.obolibrary.org/obo/FBbt_00007245	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007245/hierarchicalParents
FBbt:00007242	embryonic/larval head sensillum	Any sensillum (FBbt:00007152) that is part of some larval head (FBbt:00001730).		http://purl.obolibrary.org/obo/FBbt_00007242	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007242/hierarchicalParents
FBbt:00007280	embryonic/larval head sense organ	Any sense organ (FBbt:00005155) that is part of some larval head (FBbt:00001730).	larval head sense organ	http://purl.obolibrary.org/obo/FBbt_00007280	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007280/hierarchicalParents
FBbt:00004114	head sensillum	Any sensillum (FBbt:00007152) that is part of some head (FBbt:00000004).		http://purl.obolibrary.org/obo/FBbt_00004114	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00004114/hierarchicalParents
FBbt:00001730	larval head	Any head (FBbt:00000004) that is part of some larva (FBbt:00001727).		http://purl.obolibrary.org/obo/FBbt_00001730	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00001730/hierarchicalParents
FBbt:00007243	embryonic/larval foregut sensillum	Any sensillum (FBbt:00007152) that is part of some embryonic/larval foregut (FBbt:00001862).		http://purl.obolibrary.org/obo/FBbt_00007243	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007243/hierarchicalParents
FBbt:00001862	embryonic/larval foregut	Anterior-most part of the embryonic/larval alimentary canal. It opens anteriorly at the mouth and is composed of the atrium (to which the salivary glands are attached), the pharynx, and the esophagus and part of the proventriculus.	foreintestine	http://purl.obolibrary.org/obo/FBbt_00001862	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00001862/hierarchicalParents
FBbt:00002639	embryonic/larval sense organ	Any sense organ (FBbt:00005155) that is part of some larva (FBbt:00001727).	larval sense organ	http://purl.obolibrary.org/obo/FBbt_00002639	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00002639/hierarchicalParents
FBbt:00001727	larva			http://purl.obolibrary.org/obo/FBbt_00001727	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00001727/hierarchicalParents
FBbt:00007241	adult head sensillum	Any sensillum (FBbt:00007152) that is part of some adult head (FBbt:00003007).		http://purl.obolibrary.org/obo/FBbt_00007241	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007241/hierarchicalParents
FBbt:00003007	adult head	Head of the adult organism.		http://purl.obolibrary.org/obo/FBbt_00003007	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003007/hierarchicalParents
FBbt:00110269	A1-7 LT3 motor neuron	Motor neuron developing from neuroblast NB3-2 lineage that innervates the external lateral transverse muscle 3. It exits the ventral nerve cord via the segmental nerve root nerve fasciculating with the SNa nerve branch and innervates the LT3 muscle with type Ib boutons.	MN23/24-Ib	http://purl.obolibrary.org/obo/FBbt_00110269	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110269/hierarchicalParents
FBbt:00110267	LT3 motor neuron	Motor neuron from neuroblast NB3-2 lineage that innervates the external lateral transverse muscle 3.	MN23/24-Ib	http://purl.obolibrary.org/obo/FBbt_00110267	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110267/hierarchicalParents
FBbt:00007679	type Ib motor neuron	Any motor neuron (FBbt:00005123) that synapsed via type Ib bouton to some muscle cell (FBbt:00005074).		http://purl.obolibrary.org/obo/FBbt_00007679	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007679/hierarchicalParents
FBbt:00001548	3-2Ms	Any motor neuron that develops from NB3-2 and fasciculate with the segmental nerve.		http://purl.obolibrary.org/obo/FBbt_00001548	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00001548/hierarchicalParents
FBbt:00000629	A1-7 lateral transverse muscle 3	The third anterior-most of the lateral transverse muscles in each of embryonic/larval abdominal segments 1-7.	muscle 23	http://purl.obolibrary.org/obo/FBbt_00000629	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00000629/hierarchicalParents
FBbt:00001388	neuroblast NB3-2	Neuroblast NB3-2 delaminates at S1 and generates as many as 6 motorneurons and a cluster if local interneurons. It is the mirror image of the clone derived from NB4-2.		http://purl.obolibrary.org/obo/FBbt_00001388	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00001388/hierarchicalParents
FBbt:00007328	segmental nerve branch SNa of A1-7	Dorsally directed branch of segmental nerve of larval A1-7 that exits the ventral nerve cord through the segmental nerve root. It innervates the external lateral transverse and oblique muscles and carries axons of sensillum vc5 (also known as vp5) and lch1.	SNa	http://purl.obolibrary.org/obo/FBbt_00007328	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007328/hierarchicalParents
FBbt:00111599	adult abdominal segment 4 posterior compartment	Any adult abdominal segment posterior compartment (FBbt:00111595) that is part of some adult abdominal segment 4 (FBbt:00003028).		http://purl.obolibrary.org/obo/FBbt_00111599	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111599/hierarchicalParents
FBbt:00111595	adult abdominal segment posterior compartment	Any adult segment posterior compartment (FBbt:00111574) that is part of some adult abdominal segment (FBbt:00003024).		http://purl.obolibrary.org/obo/FBbt_00111595	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111595/hierarchicalParents
FBbt:00110268	lateral transverse muscle 3	Third-most anterior of the lateral transverse muscles.	LT3 muscle	http://purl.obolibrary.org/obo/FBbt_00110268	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110268/hierarchicalParents
FBbt:00111598	adult abdominal segment 3 posterior compartment	Any adult abdominal segment posterior compartment (FBbt:00111595) that is part of some adult abdominal segment 3 (FBbt:00003027).		http://purl.obolibrary.org/obo/FBbt_00111598	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111598/hierarchicalParents
